id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
900,8250,3,1,1,yes,no,no,no,no,2,no,furnished,3773000
955,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
1013,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3010000
1054,3600,2,2,2,yes,no,yes,no,no,1,no,furnished,2590000
258,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4480000
191,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,5040000
700,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,5530000
887,7152,3,1,2,yes,no,no,no,yes,0,no,furnished,3850000
1087,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,1750000
254,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,4480000
218,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,4830000
916,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,3640000
358,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,3745000
304,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,4193000
917,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3640000
31,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,8400000
236,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,4620000
234,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,4620000
13,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,9240000
795,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4515000
322,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,4025000
757,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,4893000
151,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,5565000
214,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,4865000
756,12900,3,1,1,yes,no,no,no,no,2,no,furnished,4900000
892,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,3836000
765,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,4795000
95,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,6300000
598,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,7350000
530,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,2240000
388,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished,3500000
858,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished,4095000
336,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,3920000
758,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,4893000
414,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,3423000
721,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,5250000
3,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,12215000
83,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,6580000
123,7320,4,2,2,yes,no,no,no,no,0,no,furnished,5950000
558,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,9240000
400,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3500000
631,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,6510000
23,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,8645000
769,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,4760000
259,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,4473000
168,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,5250000
504,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,2653000
483,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished,2940000
156,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,5523000
902,6930,4,1,2,no,no,no,no,no,1,no,furnished,3773000
964,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,3360000
746,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,4900000
380,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3605000
918,3000,2,1,2,yes,no,no,no,yes,0,no,furnished,3640000
1073,3970,1,1,1,no,no,no,no,no,0,no,unfurnished,2275000
