id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
656,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,6090000
852,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished,4165000
938,7424,3,1,1,no,no,no,no,no,0,no,unfurnished,3500000
637,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,6405000
221,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,4767000
862,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,4060000
37,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,7980000
273,3500,4,1,2,yes,no,no,no,no,2,no,furnished,4340000
68,6000,3,1,1,yes,no,no,no,yes,1,no,furnished,6860000
408,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
316,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,4060000
121,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,5950000
752,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,4900000
1021,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2940000
474,4352,4,1,2,no,no,no,no,no,1,no,unfurnished,2975000
992,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,3150000
106,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,6160000
449,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,3150000
764,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,4795000
203,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,4900000
348,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished,3815000
680,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,5775000
901,2520,5,2,1,no,no,yes,no,yes,1,no,furnished,3773000
751,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,4900000
498,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2660000
88,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,6475000
546,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,12250000
997,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished,3150000
115,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,6020000
33,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,8190000
392,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
462,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3080000
297,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,4200000
833,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,4200000
803,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4480000
105,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,6160000
812,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4403000
831,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,4235000
1056,3180,3,1,1,no,no,no,no,no,0,no,unfurnished,2520000
18,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,8890000
468,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3010000
808,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,4410000
1025,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished,2940000
324,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished,4007500
304,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,4193000
39,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,7910000
135,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,5775000
435,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,3290000
480,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished,2940000
595,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished,7420000
1007,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3080000
739,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,5005000
104,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,6195000
902,6930,4,1,2,no,no,no,no,no,1,no,furnished,3773000
370,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished,3640000
607,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,7070000
892,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,3836000
760,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,4830000
789,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,4550000
